item set size (N),co-occurrence frequency,item 1 id,item 2 id,item 3 id
3,3352,39,41,48
3,1580,38,39,48
3,1577,32,39,48
3,1426,38,39,41
3,1168,32,39,41
3,1052,38,41,48
3,995,32,41,48
3,630,38,39,170
3,530,36,38,39
3,524,32,38,39
3,508,39,48,89
3,446,32,38,48
3,437,39,48,65
3,436,38,48,170
3,432,38,39,110
3,420,39,48,310
3,399,32,38,41
3,396,38,41,170
3,380,39,48,1327
3,357,39,48,475
3,352,36,38,48
3,338,39,48,170
3,332,39,48,225
3,329,39,41,225
3,327,39,48,237
3,327,39,41,65
3,319,39,41,310
3,318,36,38,41
3,310,38,48,110
3,305,39,41,170
3,285,38,41,110
3,285,39,41,89
3,278,36,39,48
3,277,36,39,41
3,274,41,48,65
3,267,41,48,89
3,266,41,48,310
3,261,39,48,1146
3,253,39,41,475
3,251,39,48,255
3,249,39,48,438
3,249,39,41,1327
3,244,39,41,1146
3,240,39,48,110
3,235,39,48,101
3,234,41,48,225
3,232,39,41,110
3,232,39,41,237
3,231,41,48,170
3,223,41,48,475
3,209,39,41,271
3,206,39,48,604
3,202,39,48,60
3,199,41,48,1327
3,198,39,48,533
3,194,41,48,1146
3,194,39,48,271
3,187,39,48,2238
3,186,37,38,39
3,185,39,48,147
3,182,39,41,270
3,181,39,48,79
3,178,39,41,2238
3,175,36,41,48
3,175,41,48,237
3,175,39,48,270
3,174,9,39,48
3,173,38,39,286
3,172,39,41,79
3,172,39,48,1198
3,170,41,48,110
3,166,37,38,48
3,166,32,38,170
3,166,39,48,117
3,166,39,41,438
3,165,39,41,101
3,164,39,48,1344
3,162,39,48,78
3,160,39,48,592
3,159,41,48,270
3,159,38,39,1327
3,159,39,48,1121
3,155,39,48,783
3,155,39,48,522
3,155,39,41,147
3,154,39,48,208
3,151,39,48,824
3,151,39,48,352
3,151,41,48,271
3,150,39,48,544
3,150,39,48,8978
3,149,32,39,65
3,148,32,48,65
3,147,39,48,677
3,147,32,39,310
3,147,39,41,604
3,146,39,48,570
3,145,39,41,60
3,143,39,41,533
3,143,39,48,338
3,141,39,48,123
3,141,41,48,101
3,141,32,39,225
3,139,38,39,89
3,139,39,48,1393
3,138,41,48,79
3,138,32,48,310
3,137,38,48,89
3,137,39,48,249
3,137,38,39,371
3,136,39,41,1344
3,135,38,39,237
3,135,39,48,201
3,134,38,48,286
3,134,39,48,1859
3,133,38,39,225
3,133,32,36,38
3,133,39,48,2958
3,132,39,48,179
3,131,39,48,301
3,131,39,41,8978
3,130,39,41,255
3,129,39,48,185
3,128,41,48,438
3,127,32,39,89
3,126,39,48,258
3,126,32,48,89
3,126,37,39,48
3,126,39,48,589
3,126,41,48,2238
3,125,9,39,41
3,125,38,39,65
3,125,39,41,1198
3,124,41,48,147
3,124,41,48,533
3,124,39,41,352
3,123,41,48,255
3,123,39,48,855
3,123,39,41,117
3,121,32,39,475
3,121,39,41,592
3,121,39,48,156
3,120,39,270,271
3,120,41,48,604
3,120,39,48,1715
3,119,41,48,352
3,119,9,41,48
3,118,39,48,548
3,118,38,41,286
3,117,32,48,475
3,116,38,39,790
3,116,39,48,1659
3,115,39,41,208
3,115,39,48,846
3,114,38,48,1327
3,113,39,48,76
3,113,39,41,1859
3,113,39,41,544
3,112,38,39,310
3,112,38,41,790
3,110,37,38,41
3,110,11,39,48
3,110,39,41,846
3,109,38,39,55
3,109,32,38,110
3,108,39,41,783
3,108,39,41,824
3,108,38,48,65
3,108,39,48,976
3,108,41,48,208
3,107,38,39,105
3,107,32,39,170
3,107,32,41,310
3,107,41,48,1198
3,107,39,48,1578
3,107,32,39,1327
3,106,39,48,956
3,106,32,39,1146
3,106,41,48,117
3,106,32,41,225
3,106,39,48,3270
3,105,39,48,49
3,105,41,48,60
3,105,39,48,549
3,105,39,48,264
3,104,39,48,1135
3,104,32,41,65
3,104,39,41,3616
3,104,41,48,544
3,103,19,39,48
3,103,39,41,1121
3,102,39,48,297
3,102,41,48,1344
3,102,38,48,237
3,101,39,48,200
3,101,32,48,237
3,101,38,41,225
3,101,38,41,89
3,101,39,41,677
3,101,32,48,1146
3,101,39,41,1393
3,101,32,48,225
3,101,41,48,8978
3,100,38,41,1327
3,100,39,48,3616
3,99,39,41,249
3,99,39,48,740
3,99,39,41,76
3,99,41,48,592
3,99,41,48,1859
3,99,38,48,310
3,98,39,48,189
3,98,41,48,824
3,98,39,48,1593
3,98,41,270,271
3,97,39,48,175
3,97,32,39,237
3,97,38,48,790
3,97,38,41,65
3,97,39,41,522
3,97,18,39,48
3,96,39,48,286
3,96,39,48,161
3,96,39,48,107
3,95,39,45,48
3,95,39,48,789
3,95,41,48,783
3,95,32,41,1146
3,95,39,48,1004
3,94,32,39,271
3,93,39,48,272
3,93,38,39,1146
3,93,39,1146,3616
3,92,39,48,675
3,92,39,48,1814
3,92,39,41,286
3,92,39,48,1986
3,91,39,41,301
3,91,32,36,39
3,91,32,48,1327
3,91,39,48,103
3,90,39,48,229
3,90,32,48,170
3,90,38,41,237
3,90,39,41,338
3,89,37,39,41
3,89,38,48,371
3,89,39,41,570
3,89,39,48,812
3,89,39,48,479
3,89,39,41,185
3,89,38,41,310
3,89,39,41,1715
3,89,41,48,201
3,88,48,117,976
3,88,39,41,179
3,88,41,48,1121
3,87,38,39,47
3,87,38,39,475
3,87,39,48,1435
3,87,39,48,1956
3,87,41,48,185
3,86,39,48,865
3,86,32,41,271
3,86,41,48,338
3,86,39,41,123
3,86,32,39,101
3,86,18,39,41
3,86,39,48,267
3,86,39,41,258
3,85,39,41,103
3,85,39,48,186
3,85,39,41,790
3,85,38,39,438
3,85,32,41,475
3,85,41,48,522
3,85,39,41,201
3,85,39,48,2168
3,84,38,48,225
3,84,39,41,589
3,84,39,48,766
3,84,39,48,749
3,84,41,48,677
3,84,48,352,1859
3,84,32,36,48
3,83,39,48,260
3,83,38,39,281
3,83,11,39,41
3,83,39,352,1859
3,83,32,39,147
3,83,39,41,1986
3,83,41,48,258
3,83,39,48,9501
3,82,39,41,175
3,82,39,48,535
3,82,41,48,76
3,82,39,48,979
3,81,38,48,105
3,81,39,48,488
3,81,32,41,89
3,81,39,48,365
3,81,41,48,123
3,81,41,48,301
3,81,41,48,1393
3,81,39,41,78
3,81,39,48,1600
3,80,41,48,249
3,80,39,48,279
3,80,32,41,170
3,80,38,41,55
3,80,32,48,101
3,80,39,41,855
3,80,41,48,179
3,80,39,48,913
3,79,39,48,94
3,79,41,48,570
3,79,39,48,664
3,79,23,39,48
3,79,39,41,740
3,79,39,48,790
3,79,39,48,269
3,79,39,48,345
3,79,39,48,2199
3,79,32,48,352
3,79,32,39,270
3,79,41,48,3616
3,79,48,270,271
3,78,39,48,571
3,78,39,48,340
3,78,32,39,60
3,78,39,117,976
3,78,31,39,48
3,78,41,48,78
3,78,38,39,1344
3,78,39,48,413
3,78,41,48,846
3,77,37,41,48
3,77,39,41,789
3,77,32,48,270
3,77,39,48,334
3,77,32,48,147
3,77,32,41,270
3,77,38,39,3904
3,76,38,47,48
3,76,38,39,56
3,76,11,41,48
3,76,32,48,255
3,76,39,41,161
3,76,38,48,475
3,76,41,48,790
3,76,41,48,1715
3,76,39,48,1966
3,76,39,48,2056
3,75,39,48,53
3,75,38,39,370
3,75,39,48,734
3,75,39,41,156
3,75,39,48,8691
3,74,38,48,55
3,74,39,48,246
3,74,39,41,548
3,74,39,48,1783
3,74,39,225,271
3,74,39,41,1659
3,74,39,41,264
3,74,32,39,438
3,74,39,41,1600
3,74,39,48,1677
3,73,39,48,242
3,73,39,48,379
3,73,39,41,956
3,73,39,48,1233
3,73,39,48,464
3,73,32,36,41
3,73,41,48,2958
3,73,39,48,1043
3,73,39,225,2238
3,72,39,48,259
3,72,18,41,48
3,72,39,48,396
3,72,39,41,189
3,72,23,39,41
3,72,39,41,535
3,72,38,41,1146
3,72,32,48,271
3,72,41,48,264
3,72,39,48,407
3,72,39,41,9501
3,71,39,48,384
3,71,41,48,548
3,71,38,39,840
3,71,39,41,1578
3,71,41,48,1659
3,71,48,1146,3616
3,71,39,48,3966
3,71,39,41,3270
3,70,39,41,229
3,70,39,48,105
3,70,39,41,297
3,70,38,41,371
3,70,39,48,371
3,70,39,48,681
3,70,32,39,604
3,70,39,48,1214
3,70,39,48,772
3,70,41,1146,3616
3,70,38,39,2238
3,69,39,41,1593
3,69,41,48,855
3,69,39,48,591
3,69,39,41,976
3,69,41,48,103
3,69,39,48,623
3,69,39,48,4698
3,68,39,41,107
3,68,39,48,261
3,68,32,41,237
3,68,39,48,408
3,68,38,39,271
3,68,10,39,48
3,68,38,48,1146
3,68,39,41,2168
3,68,39,48,449
3,68,41,48,3270
3,68,39,48,1034
3,67,39,48,374
3,67,39,48,798
3,67,41,48,956
3,67,39,41,479
3,67,39,41,365
3,67,39,48,2552
3,67,41,48,156
3,67,39,48,1355
3,67,39,48,1486
3,66,39,48,52
3,66,41,48,189
3,66,32,39,255
3,66,39,48,727
3,66,39,41,55
3,66,39,41,749
3,66,39,41,1004
3,66,39,48,2329
3,66,41,48,976
3,66,32,39,79
3,66,38,39,147
3,66,32,48,60
3,66,39,48,536
3,66,39,48,769
3,65,41,48,229
3,65,39,41,384
3,65,39,48,1067
3,65,39,41,979
3,65,38,41,475
3,65,39,41,94
3,65,41,48,1600
3,65,41,48,107
3,65,41,48,286
3,65,39,48,62
3,64,38,48,281
3,64,41,48,297
3,64,32,39,533
3,64,41,48,789
3,64,31,39,41
3,64,32,39,110
3,64,32,39,1198
3,64,41,48,1593
3,64,39,41,2958
3,64,32,41,1327
3,64,32,48,438
3,64,32,39,352
3,64,39,769,1034
3,63,39,48,425
3,63,38,39,270
3,63,38,39,604
3,63,39,48,1239
3,63,41,48,589
3,63,38,48,438
3,63,41,352,1859
3,63,38,39,255
